views_per_month,age_months
0.29,20.83
23.24,81.03
1.05,31.53
1.32,19.66
1.18,105.46
4.00,150.72
672.26,4.68
3069.58,5.74
40.03,15.61
0.10,52.02
0.15,40.56
41.23,35.15
0.73,23.31
2.18,70.18
1.59,78.54
0.65,72.13
1.50,111.00
0.12,16.40
0.95,146.19
0.00,127.96
1.61,3.73
0.00,81.40
0.04,50.26
0.17,136.07
29.05,28.05
9.19,49.17
35.57,52.89
16.93,29.59
165.12,49.50
0.53,9.35
0.14,28.02
0.14,73.79
426.64,5.07
3.02,114.58
0.84,10.73
102.29,0.12
410.38,14.06
1.90,101.41
97.17,20.62
52.02,20.36
29.50,57.11
3.49,4.30
6.84,5.99
1.87,17.67
83.00,12.93
7.42,19.39
1.11,7.20
0.54,62.81
6.91,11.29
824.68,32.15
61.13,96.02
5.69,13.70
0.00,62.83
5.87,64.54
0.20,19.76
1.45,19.99
0.96,54.01
50.53,6.47
0.03,195.55
3.11,182.09
0.21,161.16
2.20,12.71
56.45,11.32
0.27,178.24
0.35,69.27
0.38,111.86
0.05,64.43
174.36,20.30
0.17,68.98
147.17,27.05
26.79,3.47
0.01,74.33
29.46,44.81
330.15,3.48
0.02,117.64
82.96,22.28
0.65,27.58
0.00,7.79
0.06,66.17
2.40,61.33
1.94,91.64
0.36,49.82
132.76,41.59
0.00,7.20
15.00,32.21
90.71,236.08
0.10,100.51
92.04,133.74
0.15,73.82
0.34,14.92
0.26,69.38
0.17,57.74
23.16,2.33
0.11,61.10
3.92,12.77
0.90,70.96
0.04,83.34
1.16,9.47
0.61,17.93
1.92,148.10
0.31,74.09
0.12,119.96
0.98,68.54
117.11,8.58
0.10,28.86
0.14,28.35
11.88,4.38
24.28,4.78
0.03,98.24
5.97,34.85
35.89,22.65
0.06,51.54
0.54,83.04
3.15,35.91
192.89,32.19
313.44,1.04
1.15,13.02
3.03,56.71
0.30,70.91
0.96,9.35
0.34,79.17
0.93,70.14
0.19,134.88
0.10,115.46
1.03,106.56
3.94,110.96
14.09,53.65
0.55,165.96
0.93,36.61
0.01,139.80
106.75,27.93
25.32,26.07
1.04,17.24
1.28,63.43
1.39,21.60
746.52,81.00
221.31,68.76
7.18,37.18
0.42,21.61
2.60,41.12
3.71,61.17
11.72,56.75
0.79,20.16
217.08,52.58
0.09,99.31
0.83,169.21
1.11,62.19
1.77,170.43
0.15,13.12
0.20,59.03
0.01,75.97
0.04,133.72
69.21,192.27
0.87,86.56
4.68,68.82
0.18,93.08
3.91,50.62
78.53,50.71
4.72,93.40
0.36,70.34
0.62,73.00
0.07,168.72
0.08,96.77
0.14,123.06
0.39,5.13
0.33,36.20
73.33,0.04
0.09,45.77
1.08,12.01
1.00,36.14
0.02,58.40
213.25,12.97
0.33,104.12
0.07,68.26
0.69,48.00
1.42,39.48
1039.69,2.26
3.74,196.50
2.72,190.60
27.60,46.12
0.24,109.68
1.52,34.91
0.10,62.53
0.09,74.57
0.62,16.00
7.91,11.76
0.41,134.89
82.60,99.23
1.24,43.56
0.04,24.98
0.03,231.46
0.39,90.82
1952.38,80.32
0.61,42.76
0.01,70.40
0.71,9.85
0.04,118.09
6.95,25.32
0.58,10.39
0.11,74.30
221.39,45.95
215.53,5.32
0.12,173.17
1.22,10.62
28.02,52.76
1.47,39.36
8.90,33.71
4.69,5.12
0.00,49.37
179.95,55.69
0.07,59.68
0.12,33.02
0.64,39.02
1.81,2.21
1.15,7.84
3.01,9.62
13.79,9.43
0.36,63.02
0.37,24.11
0.09,80.26
1.16,25.76
0.43,32.87
0.09,44.30
0.36,21.96
8.62,68.58
3.48,47.13
0.41,44.43
768.21,1.67
0.08,111.96
0.16,69.97
8.84,0.90
9.86,40.24
0.09,22.19
37.01,14.70
16.39,63.04
0.03,93.22
692.03,101.48
0.67,59.89
0.32,43.50
15.46,23.93
171.53,142.74
0.20,91.37
0.05,85.26
0.02,62.84
0.07,110.34
3.46,61.77
0.16,69.58
0.14,75.96
1.41,20.53
0.69,39.36
26.52,7.09
1.15,73.36
0.24,67.15
0.09,116.86
4.63,52.02
4.25,28.25
0.43,90.17
437.95,90.70
0.18,125.03
0.87,13.83
0.22,60.34
0.61,73.28
0.86,127.44
0.65,202.89
2.85,182.57
0.10,175.91
3.36,115.70
1.29,178.58
0.07,128.24
93.43,21.84
0.49,63.61
11.33,152.57
0.01,132.72
2.03,57.52
0.77,36.25
29.06,34.86
0.09,21.43
0.27,26.40
0.28,90.63
2.52,179.18
1.00,77.72
2.40,9.99
0.65,66.28
5.26,24.53
0.20,76.11
136.74,41.03
0.36,27.45
1.51,108.06
0.11,27.17
0.08,24.68
0.12,25.64
0.70,51.54
82.63,0.79
0.16,73.94
0.77,97.96
32.88,0.27
0.04,73.22
0.00,59.16
2.96,43.55
1.12,53.50
0.05,40.68
3007.70,67.80
0.41,55.81
0.36,30.34
0.30,26.51
2124.25,0.41
0.43,77.47
2.58,28.28
4.47,166.91
2.37,133.91
1475.88,116.56
0.00,64.25
0.09,42.84
0.00,77.30
0.73,54.58
18.29,10.88
0.93,4.32
4.95,21.41
0.15,19.47
0.09,42.79
0.29,66.43
0.53,31.98
0.34,80.05
2.31,10.83
2.90,60.70
0.03,207.13
1.23,69.36
0.27,202.86
0.03,65.22
0.14,62.65
0.11,53.90
1.11,26.01
0.14,117.27
0.06,80.84
18.65,146.29
0.25,24.35
135767.35,0.56
0.08,84.61
5.94,11.78
0.06,32.19
0.18,39.31
1.91,18.81
0.19,72.35
0.31,65.53
0.92,117.95
11.25,9.78
1.48,18.95
5.11,2.54
30.04,59.73
2.35,126.73
2.24,179.31
0.51,11.70
5.72,40.58
0.63,15.75
0.67,78.81
0.54,20.51
3.54,36.98
0.52,21.20
8.34,52.76
7.09,92.68
2.62,58.08
3.76,12.50
0.13,144.92
0.10,68.50
1.84,95.70
9.40,12.55
0.09,53.08
0.57,27.97
10.89,135.28
0.07,60.98
95.37,0.33
0.35,71.64
0.49,180.68
0.35,40.49
124.19,98.06
0.88,56.58
46.32,59.65
36.08,3.27
16.92,1.12
4.85,109.26
0.15,93.05
0.11,154.88
3.93,23.68
1.09,13.81
0.08,85.92
0.05,41.34
0.11,66.56
60.49,36.98
0.00,4.06
2.84,81.03
44.34,33.18
0.32,139.52
32.34,102.07
0.40,63.23
0.68,57.69
0.13,103.82
1.55,9.68
0.21,227.89
2.22,20.75
0.29,55.91
4.10,61.27
0.85,18.72
0.07,206.86
9.77,4.30
2.86,29.72
43.86,19.27
3.48,27.57
0.16,66.68
0.06,108.51
0.76,13.19
4.91,27.92
0.24,53.14
0.59,113.79
80.64,0.43
0.02,63.59
26.55,68.15
0.00,136.14
33.19,105.82
0.30,3.29
0.25,94.78
0.00,68.22
1.12,56.17
8.03,55.18
0.25,105.98
0.04,24.95
0.06,79.37
6.05,58.14
8.63,10.31
587.02,0.27
0.44,9.04
2.72,32.39
14.12,43.48
66.02,128.09
10.70,6.17
0.13,182.92
0.33,89.62
0.64,86.36
10.99,57.57
4.46,161.23
2.91,48.16
0.29,125.86
21.33,22.83
5.02,6.58
0.06,163.18
0.03,31.39
1.29,87.65
1.78,25.88
0.19,10.52
9.36,9.50
0.04,109.88
271.24,176.39
0.58,60.70
32.51,64.59
1.10,141.71
0.36,148.70
0.37,43.63
2.48,93.68
46.48,26.40
892.23,54.42
0.30,69.27
0.15,81.72
0.14,7.03
10.42,1.15
2.29,50.98
0.15,85.23
7.69,59.26
0.02,106.30
0.31,74.98
0.73,45.37
2.11,38.90
0.68,29.63
129.44,30.48
0.04,70.87
1.53,156.54
2.32,3.89
0.10,116.75
39.06,1.95
21.00,1.48
0.08,12.73
1455.56,80.78
0.01,71.47
2.55,27.08
0.23,42.60
0.12,48.69
3.47,11.81
2.18,37.21
0.65,109.54
1.78,32.51
458.18,40.10
257.06,12.98
0.05,78.50
0.50,59.58
0.16,107.38
4.44,67.83
7.71,105.78
233.76,2.38
1.33,122.71
0.52,29.10
0.17,17.26
0.00,82.72
1.57,7.66
1.50,46.79
274.09,0.57
1.15,64.43
80.29,15.76
0.00,124.74
0.19,63.92
9.74,16.74
13.25,66.27
0.33,76.62
33.01,75.92
0.34,44.70
0.00,47.99
0.00,17.13
0.32,124.37
0.04,91.88
2.48,26.22
26.37,93.22
23.06,21.38
10.40,8.56
4.52,23.22
109.88,72.48
0.30,16.68
6.25,70.75
0.16,24.88
90.00,4.96
5901.70,6.15
1.50,55.38
0.54,58.94
38.70,0.90
3.74,86.17
0.06,32.21
52.12,16.92
346.31,52.55
0.86,64.25
0.20,71.09
20.94,54.97
0.85,51.60
19.17,14.92
0.26,107.34
48.32,1.10
100.58,39.28
2.06,163.11
11.96,61.23
0.00,51.48
0.26,3.83
0.08,12.11
0.61,18.12
0.00,19.51
6.97,74.47
0.90,63.16
156.64,154.91
0.96,74.00
0.05,113.42
10.41,50.25
0.10,105.96
0.27,30.17
60.56,62.67
5.16,28.88
819.38,97.82
2.26,57.14
3.52,59.38
341.75,7.72
1.04,77.62
0.89,94.20
0.63,47.74
0.13,85.95
0.26,7.73
75.56,13.86
7.68,1.56
1.45,145.17
0.24,21.02
0.46,112.03
0.03,79.91
55.16,84.75
0.03,78.90
0.28,77.69
2.02,61.32
0.68,96.59
5.83,42.19
0.08,62.84
1.40,15.03
37.79,89.89
0.01,96.85
1.08,6.47
0.22,58.12
0.05,65.64
412.45,1.99
1.70,21.21
24.32,34.94
3.92,35.19
2.45,12.22
0.22,158.07
6.41,126.22
0.08,12.76
0.72,123.91
31.88,92.56
935.68,17.33
0.85,44.72
1.11,16.25
0.29,69.90
20.90,55.74
7.78,49.89
92.36,20.71
1556.49,16.25
0.54,143.52
8.50,6.00
0.46,40.89
2.92,40.34
1.35,39.85
0.31,140.96
0.73,72.73
17.06,34.65
3.45,18.82
0.15,102.59
1.71,79.13
0.00,83.42
1.06,56.80
7.00,34.30
0.18,54.24
7.65,179.51
0.27,48.20
0.36,11.24
749.94,109.44
0.06,85.75
600.00,65.43
0.09,118.65
47.86,30.78
0.77,112.28
46.41,4.59
0.64,48.57
15.82,15.87
1.65,22.43
0.00,5.35
9.82,71.31
71.70,15.91
214.14,12.55
224.07,8.03
0.98,32.64
1.88,4.80
0.69,94.07
0.13,60.85
4.18,47.14
12095.58,0.19
0.18,73.53
0.58,36.46
0.11,79.28
0.23,55.57
0.00,32.02
0.00,94.52
231.62,0.80
0.27,66.16
1.32,131.96
0.34,99.66
0.43,207.86
0.33,66.57
0.41,114.64
0.72,55.72
3.13,68.94
15.93,61.81
0.00,69.88
17.06,137.02
8.66,22.52
0.82,74.13
10.78,29.05
0.21,4.79
44.01,49.06
2.52,40.02
0.24,12.73
11.48,16.11
1.76,44.91
61.40,0.91
0.17,84.66
6.19,20.03
0.99,24.33
7.94,11.84
0.56,85.77
11.97,126.03
4.18,12.68
0.08,47.13
0.17,29.68
138.81,20.91
1.97,100.55
0.15,80.15
0.09,43.20
0.07,42.44
0.13,78.70
4.59,63.89
2095.60,13.35
0.00,15.52
1.35,142.24
0.05,72.74
1.45,10.32
0.06,34.83
0.85,64.38
7.45,37.04
0.22,68.11
30.98,92.41
1.36,58.85
0.08,64.07
0.00,4.18
2.31,28.95
1676.29,42.93
0.28,112.17
5.96,151.44
0.13,115.30
0.00,76.27
0.28,203.93
0.00,14.34
344.63,49.43
0.33,48.00
0.02,61.61
1.25,41.51
0.08,39.58
2.75,7.63
0.62,132.41
0.03,62.46
0.30,57.30
7.52,48.82
17.86,33.59
0.29,52.45
41.11,29.24
66.55,6.52
0.09,87.87
2.06,3.39
0.56,119.06
49.73,1.51
0.11,101.74
74.72,186.68
0.05,40.92
14.16,22.67
0.18,107.33
0.22,22.86
80.02,23.42
0.52,147.21
2.96,114.71
6.12,15.37
0.75,84.91
0.29,66.03
3.39,16.51
0.00,58.21
6.70,33.28
0.32,89.43
0.29,27.16
8.60,20.82
2715.42,0.38
0.86,52.39
40.18,69.31
0.15,79.94
1.57,57.32
26.49,31.37
0.03,117.18
0.11,26.18
0.04,111.65
0.06,17.68
0.28,54.14
458.99,132.32
1460.74,74.56
24.08,8.85
3.63,7.44
34.11,191.04
3.99,45.66
1.31,36.53
2.64,46.66
0.48,159.88
0.63,105.19
5.93,52.09
145.67,36.22
0.06,31.91
1.09,97.29
43.31,3.53
0.00,25.01
1.70,4.71
2.92,13.36
1.89,46.56
0.02,45.15
2.84,27.47
0.17,64.52
75.68,31.41
386.83,3.81
0.51,31.31
10.42,72.56
5.07,6.71
2.50,204.60
2.55,3.14
1.37,147.93
0.30,43.64
487.99,3.71
0.88,13.70
16.97,102.51
8.99,21.48
0.57,68.07
0.66,34.61
0.62,67.61
0.28,72.60
1.09,141.20
7.68,43.47
0.76,15.71
0.21,89.98
2.86,63.29
0.41,202.74
2.34,74.93
0.25,69.07
0.03,207.34
0.43,85.71
0.40,55.68
0.09,33.95
0.82,14.68
0.94,162.57
1.27,103.54
24.22,70.20
97.89,68.66
0.29,62.86
9.01,8.44
2.23,39.44
0.26,61.87
3.26,5.22
2.25,11.97
0.35,45.32
0.86,66.35
1.03,36.76
41.12,36.33
1.54,83.51
0.00,12.65
0.50,28.20
2.02,37.04
7.80,73.85
0.36,30.52
8.08,11.14
3.46,3.47
86.25,110.39
0.67,75.90
106.36,2.34
1.67,59.73
0.00,3.17
0.10,81.35
177.88,46.65
506.89,79.45
0.20,50.85
0.33,70.74
0.06,64.06
27.05,83.51
2.49,115.88
2178.54,62.44
0.67,189.39
1.25,172.72
15.74,42.58
0.38,128.44
0.50,98.32
0.16,62.35
3.62,24.01
8.61,73.99
2.62,9.17
0.79,139.04
220.75,33.47
0.89,61.62
10.61,13.01
4.01,70.74
0.22,22.57
337.79,15.97
0.11,35.60
22.63,5.96
0.50,72.54
1.65,11.53
0.65,139.15
4088.49,132.33
8.47,63.99
1.36,198.65
44.02,26.76
1.37,8.78
2.66,23.34
0.17,52.40
0.09,105.94
0.01,99.74
2.24,25.00
0.23,52.01
0.16,30.96
1435.52,4.29
1.77,47.51
0.82,101.86
0.16,44.08
0.08,71.31
0.34,124.74
0.05,65.04
0.16,77.16
0.24,83.16
0.15,13.09
2.42,57.96
0.58,74.34
0.00,5.93
1.47,38.17
0.70,72.75
1.88,28.78
0.48,183.69
0.40,120.59
2.59,68.00
1.54,29.24
0.99,8.07
0.12,65.87
0.08,167.89
5.19,48.74
0.00,26.27
4.53,2.43
0.61,16.28
52.37,15.70
0.89,21.46
7.73,0.52
0.35,66.46
0.18,94.36
0.00,12.79
1.91,111.39
2.46,52.53
288.18,36.27
0.18,89.21
125.09,74.18
33.46,52.36
0.03,64.28
0.27,70.21
9.11,57.53
48.33,10.94
0.15,32.48
26.39,7.24
0.01,71.26
2.34,30.77
0.60,8.37
0.59,59.65
6.88,71.54
1.67,19.80
4.00,87.85
31.63,18.21
1.36,9.54
0.08,144.41
1.46,164.46
3.75,166.56
0.47,101.39
0.10,70.73
4.61,127.72
71.01,56.35
0.26,88.86
1.92,57.75
11.95,1.34
184.95,20.42
0.09,82.20
1.15,6.97
0.07,107.19
0.06,85.28
2.07,189.19
0.02,59.99
8.76,7.20
3.15,104.76
2.75,115.31
0.56,25.13
1.91,110.44
0.94,57.74
0.83,70.74
445.01,194.87
0.15,54.75
0.16,57.66
170.74,35.56
893.50,76.77
0.14,21.97
360.69,9.34
2.95,8.80
99.44,63.11
50.50,52.35
99.52,29.11
32.68,27.66
0.00,12.44
0.13,45.07
1.69,38.98
1.49,70.45
8.99,124.69
0.02,110.87
0.26,42.41
0.31,48.44
0.06,53.70
3.80,59.76
53.01,6.43
0.04,28.45
10497.88,0.04
5.21,40.72
5.10,62.95
10.88,158.57
89.35,6.05
19.40,155.91
4.95,33.13
3.16,44.28
0.91,155.44
0.08,64.09
0.86,102.01
3.28,49.95
3.36,93.21
1.07,104.13
0.12,74.86
0.47,59.38
8.33,36.02
0.03,65.53
0.11,62.29
3.64,20.88
0.20,156.29
1.93,15.55
40.44,3.91
0.24,104.39
0.23,79.64
2.77,65.72
0.11,36.56
0.10,20.63
0.00,32.78
0.49,20.61
5.20,3.08
12.76,33.08
15.18,27.40
0.31,70.79
0.77,16.83
13.61,80.09
1.35,5.18
16.31,120.38
1.96,83.70
0.03,33.58
410.71,47.81
1.07,193.55
0.15,19.92
0.11,170.63
77.85,6.85
0.30,112.56
0.44,117.42
1.61,137.02
0.28,21.13
0.12,34.66
0.02,64.02
17.40,31.96
0.05,61.06
44.66,71.63
1.14,8.78
0.15,52.07
0.04,24.04
